event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,6,,0,48,20977.0,20043,20977.0,,,,77,20977000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=0 bytes=48 time_ms=20043
RX,REAL,,6,0,48,20985.88,20981,20985.88,20043,20981,8.880000000001019,78,20985880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=0 send_ms=20043 recv_ms=20981 bytes=48
TX,REAL,2,,0,48,22368.0,21890,22368.0,,,,82,22368000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=0 bytes=48 time_ms=21890
RX,REAL,,2,0,48,22395.88,22391,22395.88,21890,22391,27.88000000000102,83,22395880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=0 send_ms=21890 recv_ms=22391 bytes=48
TX,REAL,7,,0,48,25070.0,24681,25070.0,,,,89,25070000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=0 bytes=48 time_ms=24681
RX,REAL,,7,0,48,25083.88,25079,25083.88,24681,25079,13.880000000001019,90,25083880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=0 send_ms=24681 recv_ms=25079 bytes=48
TX,REAL,6,,1,48,31924.0,30990,31924.0,,,,93,31924000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=1 bytes=48 time_ms=30990
RX,REAL,,6,1,48,31946.88,31942,31946.88,30990,31942,22.88000000000102,94,31946880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=1 send_ms=30990 recv_ms=31942 bytes=48
TX,REAL,2,,1,48,32170.0,31692,32170.0,,,,96,32170000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=1 bytes=48 time_ms=31692
RX,REAL,,2,1,48,32191.88,32187,32191.88,31692,32187,21.88000000000102,97,32191880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=1 send_ms=31692 recv_ms=32187 bytes=48
TX,REAL,4,,0,48,34774.0,34149,34774.0,,,,102,34774000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=0 bytes=48 time_ms=34149
RX,REAL,,4,0,48,34807.168,34803,34807.168,34149,34803,33.167999999997846,103,34807168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=0 send_ms=34149 recv_ms=34803 bytes=48
TX,REAL,7,,1,48,35178.0,34789,35178.0,,,,105,35178000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=1 bytes=48 time_ms=34789
RX,REAL,,7,1,48,35217.88,35213,35217.88,34789,35213,39.87999999999738,106,35217880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=1 send_ms=34789 recv_ms=35213 bytes=48
TX,REAL,5,,0,48,38881.0,37938,38881.0,,,,110,38881000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=0 bytes=48 time_ms=37938
RX,REAL,,5,0,48,38931.168,38927,38931.168,37938,38927,50.167999999997846,111,38931168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=0 send_ms=37938 recv_ms=38927 bytes=48
TX,REAL,6,,2,48,41455.0,40521,41455.0,,,,113,41455000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=2 bytes=48 time_ms=40521
RX,REAL,,6,2,48,41493.88,41489,41493.88,40521,41489,38.87999999999738,114,41493880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=2 send_ms=40521 recv_ms=41489 bytes=48
TX,REAL,2,,2,48,41622.0,41144,41622.0,,,,116,41622000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=2 bytes=48 time_ms=41144
RX,REAL,,2,2,48,41627.88,41623,41627.88,41144,41623,5.879999999997381,117,41627880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=2 send_ms=41144 recv_ms=41623 bytes=48
TX,REAL,4,,1,48,44661.0,44036,44661.0,,,,120,44661000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=1 bytes=48 time_ms=44036
