event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,7,,0,48,15180.0,14861,15180.0,,,,76,15180000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=0 bytes=48 time_ms=14861
RX,REAL,,7,0,48,15218.88,14715,15218.88,14861,14715,38.8799999999992,77,15218880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=0 send_ms=14861 recv_ms=14715 bytes=48
TX,REAL,6,,0,48,22372.0,21433,22372.0,,,,84,22372000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=0 bytes=48 time_ms=21433
RX,REAL,,6,0,48,22404.88,21901,22404.88,21433,21901,32.88000000000102,85,22404880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=0 send_ms=21433 recv_ms=21901 bytes=48
TX,REAL,7,,1,48,24181.0,23862,24181.0,,,,87,24181000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=1 bytes=48 time_ms=23862
TX,DUMMY,7,,0,48,24182.0,23863,24182.0,,,,88,24182000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=0 bytes=48 time_ms=23863
RX,REAL,,7,1,48,24207.88,23704,24207.88,23862,23704,26.88000000000102,89,24207880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=1 send_ms=23862 recv_ms=23704 bytes=48
RX,DUMMY,,7,0,48,24241.88,23738,24241.88,23863,23738,,91,24241880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=0 send_ms=23863 recv_ms=23738 bytes=48
TX,REAL,2,,0,48,25009.0,24146,25009.0,,,,95,25009000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=0 bytes=48 time_ms=24146
RX,REAL,,2,0,48,25030.88,24527,25030.88,24146,24527,21.88000000000102,96,25030880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=0 send_ms=24146 recv_ms=24527 bytes=48
TX,REAL,6,,1,48,33373.0,32434,33373.0,,,,101,33373000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=1 bytes=48 time_ms=32434
RX,REAL,,6,1,48,33386.88,32883,33386.88,32434,32883,13.87999999999738,102,33386880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=1 send_ms=32434 recv_ms=32883 bytes=48
TX,REAL,2,,1,48,34010.0,33147,34010.0,,,,104,34010000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=1 bytes=48 time_ms=33147
RX,REAL,,2,1,48,34037.88,33534,34037.88,33147,33534,27.87999999999738,105,34037880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=1 send_ms=33147 recv_ms=33534 bytes=48
TX,REAL,7,,2,48,34183.0,33864,34183.0,,,,107,34183000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=2 bytes=48 time_ms=33864
RX,REAL,,7,2,48,34222.88,33719,34222.88,33864,33719,39.87999999999738,108,34222880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=2 send_ms=33864 recv_ms=33719 bytes=48
TX,REAL,4,,0,48,34576.0,34283,34576.0,,,,112,34576000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=0 bytes=48 time_ms=34283
RX,REAL,,4,0,48,34606.168,34103,34606.168,34283,34103,30.167999999997846,113,34606168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=0 send_ms=34283 recv_ms=34103 bytes=48
TX,REAL,5,,0,48,37324.0,36987,37324.0,,,,117,37324000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=0 bytes=48 time_ms=36987
RX,REAL,,5,0,48,37402.168,36899,37402.168,36987,36899,78.16799999999785,118,37402168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=0 send_ms=36987 recv_ms=36899 bytes=48
TX,REAL,3,,0,48,40914.0,40250,40914.0,,,,123,40914000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=0 bytes=48 time_ms=40250
TX,DUMMY,3,,0,48,40915.0,40251,40915.0,,,,124,40915000	ID:3	[INFO: Metric    ] METRIC_TX type=DUMMY node=3 seq=0 bytes=48 time_ms=40251
RX,REAL,,3,0,48,40955.168,40452,40955.168,40250,40452,41.167999999997846,125,40955168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=0 send_ms=40250 recv_ms=40452 bytes=48
RX,DUMMY,,3,0,48,41077.168,40574,41077.168,40251,40574,,127,41077168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=3 seq=0 send_ms=40251 recv_ms=40574 bytes=48
TX,REAL,7,,3,48,45184.0,44865,45184.0,,,,129,45184000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=3 bytes=48 time_ms=44865
RX,REAL,,7,3,48,45219.88,44716,45219.88,44865,44716,35.87999999999738,130,45219880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=3 send_ms=44865 recv_ms=44716 bytes=48
TX,REAL,6,,2,48,45374.0,44435,45374.0,,,,132,45374000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=2 bytes=48 time_ms=44435
RX,REAL,,6,2,48,45411.88,44908,45411.88,44435,44908,37.87999999999738,133,45411880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=2 send_ms=44435 recv_ms=44908 bytes=48
TX,REAL,2,,2,48,46011.0,45148,46011.0,,,,135,46011000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=2 bytes=48 time_ms=45148
RX,REAL,,2,2,48,46028.88,45525,46028.88,45148,45525,17.87999999999738,136,46028880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=2 send_ms=45148 recv_ms=45525 bytes=48
