event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,7,,0,48,15180.0,14861,15180.0,,,,76,15180000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=0 bytes=48 time_ms=14861
RX,REAL,,7,0,48,15218.88,14715,15218.88,14861,14715,38.8799999999992,77,15218880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=0 send_ms=14861 recv_ms=14715 bytes=48
TX,REAL,6,,0,48,22372.0,21433,22372.0,,,,84,22372000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=0 bytes=48 time_ms=21433
RX,REAL,,6,0,48,22404.88,21901,22404.88,21433,21901,32.88000000000102,85,22404880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=0 send_ms=21433 recv_ms=21901 bytes=48
TX,REAL,7,,1,48,24181.0,23862,24181.0,,,,87,24181000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=1 bytes=48 time_ms=23862
TX,DUMMY,7,,0,48,24182.0,23863,24182.0,,,,88,24182000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=0 bytes=48 time_ms=23863
RX,REAL,,7,1,48,24207.88,23704,24207.88,23862,23704,26.88000000000102,89,24207880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=1 send_ms=23862 recv_ms=23704 bytes=48
RX,DUMMY,,7,0,48,24241.88,23738,24241.88,23863,23738,,91,24241880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=0 send_ms=23863 recv_ms=23738 bytes=48
TX,REAL,2,,0,48,25009.0,24146,25009.0,,,,95,25009000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=0 bytes=48 time_ms=24146
TX,DUMMY,2,,0,48,25010.0,24147,25010.0,,,,96,25010000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=0 bytes=48 time_ms=24147
RX,REAL,,2,0,48,25030.88,24527,25030.88,24146,24527,21.88000000000102,97,25030880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=0 send_ms=24146 recv_ms=24527 bytes=48
RX,DUMMY,,2,0,48,25050.88,24547,25050.88,24147,24547,,98,25050880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=0 send_ms=24147 recv_ms=24547 bytes=48
TX,REAL,6,,1,48,33373.0,32434,33373.0,,,,104,33373000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=1 bytes=48 time_ms=32434
RX,REAL,,6,1,48,33386.88,32883,33386.88,32434,32883,13.87999999999738,105,33386880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=1 send_ms=32434 recv_ms=32883 bytes=48
TX,REAL,2,,1,48,34011.0,33148,34011.0,,,,107,34011000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=1 bytes=48 time_ms=33148
TX,DUMMY,2,,1,48,34012.0,33149,34012.0,,,,108,34012000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=1 bytes=48 time_ms=33149
RX,REAL,,2,1,48,34017.88,33514,34017.88,33148,33514,6.879999999997381,109,34017880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=1 send_ms=33148 recv_ms=33514 bytes=48
RX,DUMMY,,2,1,48,34102.88,33599,34102.88,33149,33599,,111,34102880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=1 send_ms=33149 recv_ms=33599 bytes=48
TX,REAL,7,,2,48,34183.0,33864,34183.0,,,,113,34183000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=2 bytes=48 time_ms=33864
RX,REAL,,7,2,48,34222.88,33719,34222.88,33864,33719,39.87999999999738,114,34222880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=2 send_ms=33864 recv_ms=33719 bytes=48
TX,REAL,4,,0,48,34576.0,34283,34576.0,,,,119,34576000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=0 bytes=48 time_ms=34283
TX,DUMMY,4,,0,48,34577.0,34284,34577.0,,,,120,34577000	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=0 bytes=48 time_ms=34284
RX,REAL,,4,0,48,34606.168,34103,34606.168,34283,34103,30.167999999997846,121,34606168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=0 send_ms=34283 recv_ms=34103 bytes=48
RX,DUMMY,,4,0,48,34668.168,34165,34668.168,34284,34165,,122,34668168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=0 send_ms=34284 recv_ms=34165 bytes=48
TX,REAL,5,,0,48,37324.0,36987,37324.0,,,,127,37324000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=0 bytes=48 time_ms=36987
TX,DUMMY,5,,0,48,37325.0,36988,37325.0,,,,128,37325000	ID:5	[INFO: Metric    ] METRIC_TX type=DUMMY node=5 seq=0 bytes=48 time_ms=36988
RX,REAL,,5,0,48,37378.168,36875,37378.168,36987,36875,54.167999999997846,129,37378168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=0 send_ms=36987 recv_ms=36875 bytes=48
RX,DUMMY,,5,0,48,37459.168,36956,37459.168,36988,36956,,131,37459168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=5 seq=0 send_ms=36988 recv_ms=36956 bytes=48
TX,REAL,3,,0,48,40914.0,40250,40914.0,,,,135,40914000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=0 bytes=48 time_ms=40250
TX,DUMMY,3,,0,48,40915.0,40251,40915.0,,,,136,40915000	ID:3	[INFO: Metric    ] METRIC_TX type=DUMMY node=3 seq=0 bytes=48 time_ms=40251
