event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,2,,0,48,16367.0,15974,16367.0,,,,76,16367000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=0 bytes=48 time_ms=15974
RX,REAL,,2,0,48,16384.88,15953,16384.88,15974,15953,17.88000000000102,77,16384880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=0 send_ms=15974 recv_ms=15953 bytes=48
TX,REAL,7,,0,48,20056.0,20034,20056.0,,,,81,20056000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=0 bytes=48 time_ms=20034
RX,REAL,,7,0,48,20076.88,19645,20076.88,20034,19645,20.88000000000102,82,20076880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=0 send_ms=20034 recv_ms=19645 bytes=48
TX,REAL,6,,0,48,21826.0,21738,21826.0,,,,87,21826000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=0 bytes=48 time_ms=21738
RX,REAL,,6,0,48,21833.88,21402,21833.88,21738,21402,7.880000000001019,88,21833880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=0 send_ms=21738 recv_ms=21402 bytes=48
TX,REAL,2,,1,48,27368.0,26975,27368.0,,,,92,27368000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=1 bytes=48 time_ms=26975
RX,REAL,,2,1,48,27391.88,26960,27391.88,26975,26960,23.88000000000102,93,27391880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=1 send_ms=26975 recv_ms=26960 bytes=48
TX,REAL,7,,1,48,31057.0,31035,31057.0,,,,95,31057000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=1 bytes=48 time_ms=31035
TX,DUMMY,7,,0,48,31058.0,31036,31058.0,,,,96,31058000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=0 bytes=48 time_ms=31036
RX,REAL,,7,1,48,31074.88,30643,31074.88,31035,30643,17.88000000000102,97,31074880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=1 send_ms=31035 recv_ms=30643 bytes=48
RX,DUMMY,,7,0,48,31097.88,30666,31097.88,31036,30666,,98,31097880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=0 send_ms=31036 recv_ms=30666 bytes=48
TX,REAL,6,,1,48,31827.0,31739,31827.0,,,,101,31827000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=1 bytes=48 time_ms=31739
TX,DUMMY,6,,0,48,31828.0,31740,31828.0,,,,102,31828000	ID:6	[INFO: Metric    ] METRIC_TX type=DUMMY node=6 seq=0 bytes=48 time_ms=31740
RX,REAL,,6,1,48,31852.88,31421,31852.88,31739,31421,25.88000000000102,103,31852880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=1 send_ms=31739 recv_ms=31421 bytes=48
RX,DUMMY,,6,0,48,31888.88,31457,31888.88,31740,31457,,104,31888880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=6 seq=0 send_ms=31740 recv_ms=31457 bytes=48
TX,REAL,3,,0,48,34976.0,34764,34976.0,,,,110,34976000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=0 bytes=48 time_ms=34764
RX,REAL,,3,0,48,35009.168,34578,35009.168,34764,34578,33.167999999997846,111,35009168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=0 send_ms=34764 recv_ms=34578 bytes=48
TX,REAL,5,,0,48,35055.0,34085,35055.0,,,,114,35055000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=0 bytes=48 time_ms=34085
RX,REAL,,5,0,48,35087.592,34656,35087.592,34085,34656,32.591999999996915,116,35087592	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=0 send_ms=34085 recv_ms=34656 bytes=48
TX,REAL,2,,2,48,37369.0,36976,37369.0,,,,119,37369000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=2 bytes=48 time_ms=36976
RX,REAL,,2,2,48,37410.88,36979,37410.88,36976,36979,41.87999999999738,120,37410880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=2 send_ms=36976 recv_ms=36979 bytes=48
TX,REAL,7,,2,48,40059.0,40037,40059.0,,,,122,40059000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=2 bytes=48 time_ms=40037
RX,REAL,,7,2,48,40083.88,39652,40083.88,40037,39652,24.87999999999738,123,40083880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=2 send_ms=40037 recv_ms=39652 bytes=48
TX,REAL,6,,2,48,42829.0,42741,42829.0,,,,125,42829000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=2 bytes=48 time_ms=42741
RX,REAL,,6,2,48,42838.88,42407,42838.88,42741,42407,9.87999999999738,126,42838880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=2 send_ms=42741 recv_ms=42407 bytes=48
TX,REAL,4,,0,48,43075.0,42126,43075.0,,,,130,43075000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=0 bytes=48 time_ms=42126
RX,REAL,,4,0,48,43125.168,42694,43125.168,42126,42694,50.167999999997846,131,43125168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=0 send_ms=42126 recv_ms=42694 bytes=48
TX,REAL,3,,1,48,43977.0,43765,43977.0,,,,133,43977000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=1 bytes=48 time_ms=43765
RX,REAL,,3,1,48,44022.304,43591,44022.304,43765,43591,45.30399999999645,134,44022304	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=1 send_ms=43765 recv_ms=43591 bytes=48
TX,REAL,5,,1,48,44056.0,43086,44056.0,,,,135,44056000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=1 bytes=48 time_ms=43086
RX,REAL,,5,1,48,44141.304,43710,44141.304,43086,43710,85.30399999999645,137,44141304	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=1 send_ms=43086 recv_ms=43710 bytes=48
TX,REAL,2,,3,48,47370.0,46977,47370.0,,,,139,47370000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=3 bytes=48 time_ms=46977
RX,REAL,,2,3,48,47400.88,46969,47400.88,46977,46969,30.87999999999738,140,47400880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=3 send_ms=46977 recv_ms=46969 bytes=48
TX,REAL,7,,3,48,49060.0,49038,49060.0,,,,142,49060000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=3 bytes=48 time_ms=49038
RX,REAL,,7,3,48,49099.88,48668,49099.88,49038,48668,39.87999999999738,143,49099880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=3 send_ms=49038 recv_ms=48668 bytes=48
TX,REAL,3,,2,48,52978.0,52766,52978.0,,,,145,52978000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=2 bytes=48 time_ms=52766
RX,REAL,,3,2,48,53055.168,52624,53055.168,52766,52624,77.16799999999785,146,53055168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=2 send_ms=52766 recv_ms=52624 bytes=48
TX,REAL,5,,2,48,53057.0,52087,53057.0,,,,147,53057000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=2 bytes=48 time_ms=52087
TX,REAL,4,,1,48,53075.04,52127,53075.04,,,,148,53075040	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=1 bytes=48 time_ms=52127
TX,DUMMY,4,,0,48,53076.04,52127,53076.04,,,,149,53076040	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=0 bytes=48 time_ms=52127
RX,REAL,,4,1,48,53171.168,52740,53171.168,52127,52740,96.12799999999697,150,53171168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=1 send_ms=52127 recv_ms=52740 bytes=48
