method,mode,seed,baseline_acc,defended_acc,accuracy_drop,baseline_f1_macro,defended_f1_macro,baseline_windows,defense_windows,source_radio_log,source_app_log
dummy_noise,fixed_attacker,42,0.24564315352697094,0.17647058823529413,0.06917256529167681,0.2423633203474895,0.16306678989645734,4016,678,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_noise.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_noise.txt
dummy_noise,retrain_attacker,42,0.24564315352697094,0.22549019607843138,0.020152957448539566,0.2423633203474895,0.20685832208797558,4016,678,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_noise.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_noise.txt
dummy_noise,fixed_attacker,123,0.25809128630705397,0.23039215686274508,0.027699129444308884,0.2557620743526765,0.22096584369893754,4016,678,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_noise.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_noise.txt
dummy_noise,retrain_attacker,123,0.25809128630705397,0.25980392156862747,-0.001712635261573503,0.2557620743526765,0.2330930532119354,4016,678,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_noise.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_noise.txt
dummy_noise,fixed_attacker,2026,0.24315352697095435,0.15196078431372548,0.09119274265722888,0.2411207688402276,0.14716640272784343,4016,678,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_noise.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_noise.txt
dummy_noise,retrain_attacker,2026,0.24315352697095435,0.29411764705882354,-0.050964120087869186,0.2411207688402276,0.27901533167661347,4016,678,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_noise.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_noise.txt
dummy_ldp,fixed_attacker,42,0.24564315352697094,0.23209169054441262,0.013551462982558327,0.2423633203474895,0.22383865011370227,4016,1161,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_ldp.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_ldp.txt
dummy_ldp,retrain_attacker,42,0.24564315352697094,0.22063037249283668,0.025012781034134263,0.2423633203474895,0.21501983927376914,4016,1161,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_ldp.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_ldp.txt
dummy_ldp,fixed_attacker,123,0.25809128630705397,0.19484240687679083,0.06324887943026314,0.2557620743526765,0.17439604343738638,4016,1161,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_ldp.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_ldp.txt
dummy_ldp,retrain_attacker,123,0.25809128630705397,0.2177650429799427,0.040326243327111266,0.2557620743526765,0.2153323433560871,4016,1161,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_ldp.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_ldp.txt
dummy_ldp,fixed_attacker,2026,0.24315352697095435,0.2148997134670487,0.028253813503905656,0.2411207688402276,0.2008052242458216,4016,1161,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_ldp.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_ldp.txt
dummy_ldp,retrain_attacker,2026,0.24315352697095435,0.2492836676217765,-0.006130140650822152,0.2411207688402276,0.24385655096668046,4016,1161,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_ldp.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_ldp.txt
dummy_adaptive_ldp,fixed_attacker,42,0.24564315352697094,0.21637426900584794,0.029268884521123,0.2423633203474895,0.21381703162896237,4016,1140,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_adaptive.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_adaptive.txt
dummy_adaptive_ldp,retrain_attacker,42,0.24564315352697094,0.260233918128655,-0.014590764601684042,0.2423633203474895,0.25464938949899224,4016,1140,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_adaptive.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_adaptive.txt
dummy_adaptive_ldp,fixed_attacker,123,0.25809128630705397,0.22514619883040934,0.032945087476644624,0.2557620743526765,0.20395559390244378,4016,1140,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_adaptive.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_adaptive.txt
dummy_adaptive_ldp,retrain_attacker,123,0.25809128630705397,0.22807017543859648,0.03002111086845749,0.2557620743526765,0.2261038434302929,4016,1140,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_adaptive.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_adaptive.txt
dummy_adaptive_ldp,fixed_attacker,2026,0.24315352697095435,0.1871345029239766,0.056019024046977756,0.2411207688402276,0.1748732677589484,4016,1140,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_adaptive.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_adaptive.txt
dummy_adaptive_ldp,retrain_attacker,2026,0.24315352697095435,0.23976608187134502,0.0033874450996093375,0.2411207688402276,0.24103831896201044,4016,1140,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\Radiomsg_dummy_adaptive.txt,\\wsl$\Ubuntu-22.04\home\linchen\iot-privacy-project\loglistener_dummy_adaptive.txt
