dataset,seed,model_type,mode,method,profile_name,parameter_name,parameter_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_acc,defended_acc,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
mock,42,lstm,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.7649006622516556,0.6639072847682119,0.10099337748344372,0.5995450437338246,0.019962062058155684,0.09995554298086394,0.735057133680853,,outputs/defense/full_multiseed/seed_42/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,42,lstm,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.7649006622516556,0.41225165562913907,0.3526490066225166,0.283861941435094,0.1796585584520285,0.2998666288757909,0.3392570192185543,,outputs/defense/full_multiseed/seed_42/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,42,lstm,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.7649006622516556,0.3708609271523179,0.39403973509933776,0.2188925706986578,0.4990515514628953,0.4997777148464784,0.21107981852836696,,outputs/defense/full_multiseed/seed_42/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,42,lstm,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.7649006622516556,0.3228476821192053,0.44205298013245037,0.19149585494803317,1.9962062060492143,0.999555429705271,0.10680568236856793,,outputs/defense/full_multiseed/seed_42/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,42,lstm,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.7201986754966887,0.6837748344370861,0.03642384105960261,0.6328695986874581,0.019962062058155684,0.09995554298086394,0.735057133680853,outputs/models/full_multiseed/seed_42/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p1_retrain.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,42,lstm,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.5761589403973509,0.45695364238410596,0.11920529801324498,0.3959010770533703,0.1796585584520285,0.2998666288757909,0.3392570192185543,outputs/models/full_multiseed/seed_42/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p3_retrain.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,42,lstm,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.5347682119205298,0.3294701986754967,0.2052980132450331,0.2834620922360163,0.4990515514628953,0.4997777148464784,0.21107981852836696,outputs/models/full_multiseed/seed_42/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p5_retrain.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,42,lstm,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.48013245033112584,0.2152317880794702,0.26490066225165565,0.20172188834995727,1.9962062060492143,0.999555429705271,0.10680568236856793,outputs/models/full_multiseed/seed_42/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_1p0_retrain.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,42,mlp,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.4652317880794702,0.15894039735099338,0.3062913907284768,0.11648174500150647,0.019962062058155684,0.09995554298086394,0.735057133680853,outputs/models/full_multiseed/seed_42/best_mlp.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,42,mlp,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.4652317880794702,0.1804635761589404,0.2847682119205298,0.12928428331485303,0.1796585584520285,0.2998666288757909,0.3392570192185543,outputs/models/full_multiseed/seed_42/best_mlp.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,42,mlp,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.4652317880794702,0.18874172185430463,0.2764900662251656,0.11777096560638949,0.4990515514628953,0.4997777148464784,0.21107981852836696,outputs/models/full_multiseed/seed_42/best_mlp.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,42,mlp,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.4652317880794702,0.18874172185430463,0.2764900662251656,0.11216563683518883,1.9962062060492143,0.999555429705271,0.10680568236856793,outputs/models/full_multiseed/seed_42/best_mlp.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,42,mlp,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.09768211920529801,0.4139072847682119,-0.3162251655629139,0.33302777307276743,0.019962062058155684,0.09995554298086394,0.735057133680853,outputs/models/full_multiseed/seed_42/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p1_retrain.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,42,mlp,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.09768211920529801,0.3443708609271523,-0.2466887417218543,0.2420896466622314,0.1796585584520285,0.2998666288757909,0.3392570192185543,outputs/models/full_multiseed/seed_42/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p3_retrain.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,42,mlp,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.09768211920529801,0.2599337748344371,-0.16225165562913907,0.18708902755334428,0.4990515514628953,0.4997777148464784,0.21107981852836696,outputs/models/full_multiseed/seed_42/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p5_retrain.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,42,mlp,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.09768211920529801,0.1986754966887417,-0.1009933774834437,0.15915756137388073,1.9962062060492143,0.999555429705271,0.10680568236856793,outputs/models/full_multiseed/seed_42/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_1p0_retrain.pt,outputs/defense/full_multiseed/seed_42/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
