count,dataset,method,mode,model_type,pred_label,seed,source_file,true_label
55,mock,adaptive_ldp,fixed_attacker,lstm,other,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,cooking
42,mock,adaptive_ldp,fixed_attacker,lstm,cooking,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,using_computer
41,mock,adaptive_ldp,fixed_attacker,lstm,other,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,using_computer
33,mock,adaptive_ldp,fixed_attacker,lstm,cooking,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,away
23,mock,adaptive_ldp,fixed_attacker,lstm,other,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,away
22,mock,adaptive_ldp,fixed_attacker,lstm,other,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,sleep
20,mock,adaptive_ldp,fixed_attacker,lstm,sleep,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,cooking
17,mock,adaptive_ldp,fixed_attacker,lstm,cooking,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,sleep
16,mock,adaptive_ldp,fixed_attacker,lstm,sleep,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,using_computer
14,mock,adaptive_ldp,fixed_attacker,lstm,cooking,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,other
