dataset,profile_name,model_type,mode,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,mean_baseline_acc,mean_defended_acc,mean_accuracy_drop,mean_defended_f1_macro,mean_mse,mean_mae,mean_pearson_r,num_seeds,source_file
casas_hh101,adaptive_default,lstm,fixed_attacker,0.4,4.0,0.5,0.5,False,0.48223671894125947,0.14237986204115724,0.3398568569001022,0.11797472028533722,0.2060182785416198,0.22905865015607096,0.5944407400699881,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_default,lstm,retrain_attacker,0.4,4.0,0.5,0.5,False,0.47153698823461637,0.43169021183450695,0.0398467764001094,0.1936732198432638,0.2060182785416198,0.22905865015607096,0.5944407400699881,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_default,mlp,fixed_attacker,0.4,4.0,0.5,0.5,False,0.4378681182586656,0.06467360781094737,0.3731945104477182,0.013792800042552367,0.2060182785416198,0.22905865015607096,0.5944407400699881,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_default,mlp,retrain_attacker,0.4,4.0,0.5,0.5,False,0.3400584668999582,0.3419881626128656,-0.0019296957129073995,0.10942921546671015,0.2060182785416198,0.22905865015607096,0.5944407400699881,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_strong_privacy,lstm,fixed_attacker,0.2,1.0,0.5,0.5,False,0.48223671894125947,0.03310724211920907,0.44912947682205034,0.022047197693170498,2.4214501965215782,0.7920414355561943,0.16935474275750606,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_strong_privacy,lstm,retrain_attacker,0.2,1.0,0.5,0.5,False,0.3094569490646736,0.3171037283449259,-0.0076467792802523,0.10970872748822975,2.4214501965215782,0.7920414355561943,0.16935474275750606,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_strong_privacy,mlp,fixed_attacker,0.2,1.0,0.5,0.5,False,0.4378681182586656,0.057070030673521364,0.3807980875851442,0.0130182238993755,2.4214501965215782,0.7920414355561943,0.16935474275750606,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_strong_privacy,mlp,retrain_attacker,0.2,1.0,0.5,0.5,False,0.30153655621318814,0.24874353767946888,0.05279301853371923,0.0524454828455149,2.4214501965215782,0.7920414355561943,0.16935474275750606,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_weak_privacy,lstm,fixed_attacker,1.0,6.0,0.5,0.5,False,0.48223671894125947,0.27634970694546446,0.20588701199579496,0.17588582503600758,0.08022874911111162,0.1455288350761388,0.7844692561461519,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_weak_privacy,lstm,retrain_attacker,1.0,6.0,0.5,0.5,False,0.5047018332109272,0.48533287251047647,0.019368960700450667,0.232735291154467,0.08022874911111162,0.1455288350761388,0.7844692561461519,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_weak_privacy,mlp,fixed_attacker,1.0,6.0,0.5,0.5,False,0.4378681182586656,0.062023876384268595,0.37584424187439697,0.014509205673599868,0.08022874911111162,0.1455288350761388,0.7844692561461519,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
