count,dataset,method,mode,model_type,pred_label,seed,source_file,true_label
463,uci_har,adaptive_ldp,fixed_attacker,lstm,laying,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,walking
455,uci_har,adaptive_ldp,fixed_attacker,lstm,laying,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,walking_upstairs
406,uci_har,adaptive_ldp,fixed_attacker,lstm,laying,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,walking_downstairs
318,uci_har,adaptive_ldp,fixed_attacker,lstm,walking,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,standing
241,uci_har,adaptive_ldp,fixed_attacker,lstm,laying,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,sitting
234,uci_har,adaptive_ldp,fixed_attacker,lstm,walking,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,sitting
205,uci_har,adaptive_ldp,fixed_attacker,lstm,laying,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,standing
10,uci_har,adaptive_ldp,fixed_attacker,lstm,walking_downstairs,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,walking_upstairs
9,uci_har,adaptive_ldp,fixed_attacker,lstm,walking,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,walking_downstairs
7,uci_har,adaptive_ldp,fixed_attacker,lstm,walking_downstairs,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json,walking
349,uci_har,adaptive_ldp,retrain_attacker,lstm,walking_upstairs,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json,walking_downstairs
268,uci_har,adaptive_ldp,retrain_attacker,lstm,standing,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json,sitting
229,uci_har,adaptive_ldp,retrain_attacker,lstm,walking_upstairs,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json,walking
95,uci_har,adaptive_ldp,retrain_attacker,lstm,walking,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json,walking_upstairs
84,uci_har,adaptive_ldp,retrain_attacker,lstm,sitting,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\uci_har\seed_42\adaptive_ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json,standing
