seed,method,source_app_log,source_radio_log,real_packet_count,dummy_packet_count,total_packet_count,dummy_packet_ratio,packet_overhead_ratio,real_byte_count,dummy_byte_count,total_byte_count,dummy_byte_ratio,byte_overhead_ratio,mean_iat_ms,p95_iat_ms,mean_delay_ms,median_delay_ms,p95_delay_ms,delay_sample_count,cpu_time_s,lpm_time_s,tx_time_s,rx_time_s,energy_mj,energy_overhead_ratio_vs_baseline,metric_type,delay_metric_type,energy_metric_type,is_hardware_measurement,energy_model,unavailable_reason,source_file
42,baseline,outputs/experiments/cooja/seed_42/random_forest/baseline/COOJA.testlog,,1067,0,1067,0.0,0.0,51216,0,51216,0.0,0.0,1672.4812382739212,4571.5,39.50402999061087,37.88000000000466,75.16800000000512,1067,12142.38188,0.0,19.71932,12122.66256,750316.37904,,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_42/random_forest/baseline/overhead_metrics.json
42,dummy_noise,outputs/experiments/cooja/seed_42/random_forest/dummy_noise/COOJA.testlog,,1062,190,1252,0.15175718849840256,0.17890772128060264,50976,9120,60096,0.15175718849840256,0.17890772128060264,1425.1143085531576,4889.0,43.53453107343039,38.88000000000466,87.16800000000477,1062,12197.54188,0.0,24.17108,12173.3708,753706.5696480001,0.0045183481298084515,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_42/random_forest/dummy_noise/overhead_metrics.json
42,dummy_ldp,outputs/experiments/cooja/seed_42/random_forest/dummy_ldp/COOJA.testlog,,1068,343,1411,0.2430900070871722,0.3211610486891386,51264,16464,67728,0.2430900070871722,0.3211610486891386,1264.4851063829788,4231.1,43.23588014979615,37.87999999994645,89.81800000004293,1068,12125.954304,0.0,26.939256,12099.015048,749270.831112,-0.0013934760818332694,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_42/random_forest/dummy_ldp/overhead_metrics.json
42,dummy_adaptive_ldp,outputs/experiments/cooja/seed_42/random_forest/dummy_adaptive_ldp/COOJA.testlog,,1063,275,1338,0.2055306427503737,0.25870178739416744,51024,13200,64224,0.2055306427503737,0.25870178739416744,1333.5220643231114,4097.200000000001,41.89323047975773,37.88000000000466,85.23279999999795,1063,12198.15588,0.0,25.35496,12172.80092,753739.542552,0.004562293463964895,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_42/random_forest/dummy_adaptive_ldp/overhead_metrics.json
123,baseline,outputs/experiments/cooja/seed_123/random_forest/baseline/COOJA.testlog,,1064,0,1064,0.0,0.0,51072,0,51072,0.0,0.0,1670.6528692380057,4225.4,38.901541353367286,37.16799999997602,75.16799999999638,1064,12171.87888,0.0,19.72888,12152.15,752139.253488,,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_123/random_forest/baseline/overhead_metrics.json
123,dummy_noise,outputs/experiments/cooja/seed_123/random_forest/dummy_noise/COOJA.testlog,,1064,222,1286,0.17262830482115085,0.20864661654135339,51072,10656,61728,0.17262830482115085,0.20864661654135339,1383.8015564202335,4493.8,41.253240601487555,38.45600000000559,81.1679999999964,1064,12171.74388,0.0,23.710672,12148.033208,752114.1869616001,-3.3326975402069314e-05,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_123/random_forest/dummy_noise/overhead_metrics.json
123,dummy_ldp,outputs/experiments/cooja/seed_123/random_forest/dummy_ldp/COOJA.testlog,,1066,382,1448,0.2638121546961326,0.35834896810506567,51168,18336,69504,0.2638121546961326,0.35834896810506567,1230.9612992398065,4304.6,40.51458161349218,37.16799999997238,80.91799999997602,1066,12348.723168,0.0,27.165544,12321.557624,763036.9964976,0.01448899649773942,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_123/random_forest/dummy_ldp/overhead_metrics.json
123,dummy_adaptive_ldp,outputs/experiments/cooja/seed_123/random_forest/dummy_adaptive_ldp/COOJA.testlog,,1069,325,1394,0.23314203730272598,0.304022450888681,51312,15600,66912,0.23314203730272598,0.304022450888681,1277.9820531227567,4250.599999999999,40.5419270345959,38.83999999985099,79.16800000006333,1069,12141.09788,0.0,25.372136,12115.725744,750213.2860128,-0.00256065278639363,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_123/random_forest/dummy_adaptive_ldp/overhead_metrics.json
2026,baseline,outputs/experiments/cooja/seed_2026/random_forest/baseline/COOJA.testlog,,1061,0,1061,0.0,0.0,50928,0,50928,0.0,0.0,1684.0528301886793,4264.25,39.40637888782499,37.167999999946915,78.16800000006333,1061,12207.82988,0.0,19.640176,12188.189704,754361.3978448,,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_2026/random_forest/baseline/overhead_metrics.json
2026,dummy_noise,outputs/experiments/cooja/seed_2026/random_forest/dummy_noise/COOJA.testlog,,1063,216,1279,0.16888193901485535,0.20319849482596425,51024,10368,61392,0.16888193901485535,0.20319849482596425,1396.4053208137716,4142.449999999994,39.768451552194044,37.88000000000466,78.1679999999993,1063,12182.08788,0.0,23.5712,12158.51668,752754.0319439999,-0.002130763723319247,cooja_simulation_estimate,cooja_simulation_time,energest_simulation_estimate,False,"{'voltage_v': 3.0, 'current_ma': {'cpu': 1.8, 'lpm': 0.0545, 'tx': 17.4, 'rx': 18.8}, 'tick_unit': 'rtimer_ticks', 'rtimer_second': 1000000, 'metric_note': 'Cooja/Contiki-NG Energest based simulation-level energy estimate, not hardware power-meter measurement.'}",[],outputs/experiments/cooja/seed_2026/random_forest/dummy_noise/overhead_metrics.json
