method,mode,seed,baseline_acc,defended_acc,accuracy_drop,baseline_f1_macro,defended_f1_macro,baseline_windows,defense_windows,source_radio_log,source_app_log
dummy_noise,fixed_attacker,42,0.15873015873015872,0.140625,0.01810515873015872,0.15657287157287159,0.13542152292152293,419,426,,outputs/experiments/cooja/seed_42/random_forest/dummy_noise/COOJA.testlog
dummy_noise,retrain_attacker,42,0.15873015873015872,0.2890625,-0.13033234126984128,0.15657287157287159,0.2775113138553999,419,426,,outputs/experiments/cooja/seed_42/random_forest/dummy_noise/COOJA.testlog
dummy_noise,fixed_attacker,123,0.15602836879432624,0.11363636363636363,0.04239200515796261,0.1575074342233457,0.10444290867441769,468,438,,outputs/experiments/cooja/seed_123/random_forest/dummy_noise/COOJA.testlog
dummy_noise,retrain_attacker,123,0.15602836879432624,0.23484848484848486,-0.07882011605415862,0.1575074342233457,0.22794196500062203,468,438,,outputs/experiments/cooja/seed_123/random_forest/dummy_noise/COOJA.testlog
dummy_noise,fixed_attacker,2026,0.17391304347826086,0.1417910447761194,0.03212199870214147,0.1826431830593873,0.1334138622703928,460,446,,outputs/experiments/cooja/seed_2026/random_forest/dummy_noise/COOJA.testlog
dummy_noise,retrain_attacker,2026,0.17391304347826086,0.1791044776119403,-0.005191434133679423,0.1826431830593873,0.17090775102594144,460,446,,outputs/experiments/cooja/seed_2026/random_forest/dummy_noise/COOJA.testlog
dummy_ldp,fixed_attacker,42,0.15873015873015872,0.13178294573643412,0.0269472129937246,0.15657287157287159,0.12095441784137251,419,428,,outputs/experiments/cooja/seed_42/random_forest/dummy_ldp/COOJA.testlog
dummy_ldp,retrain_attacker,42,0.15873015873015872,0.2248062015503876,-0.06607604282022889,0.15657287157287159,0.21342901805532952,419,428,,outputs/experiments/cooja/seed_42/random_forest/dummy_ldp/COOJA.testlog
dummy_ldp,fixed_attacker,123,0.15602836879432624,0.21052631578947367,-0.05449794699514743,0.1575074342233457,0.209176968680172,468,443,,outputs/experiments/cooja/seed_123/random_forest/dummy_ldp/COOJA.testlog
dummy_ldp,retrain_attacker,123,0.15602836879432624,0.23308270676691728,-0.07705433797259104,0.1575074342233457,0.21548863728277964,468,443,,outputs/experiments/cooja/seed_123/random_forest/dummy_ldp/COOJA.testlog
dummy_ldp,fixed_attacker,2026,0.17391304347826086,0.17424242424242425,-0.00032938076416338946,0.1826431830593873,0.15678614915876724,460,438,,outputs/experiments/cooja/seed_2026/random_forest/dummy_ldp/COOJA.testlog
dummy_ldp,retrain_attacker,2026,0.17391304347826086,0.24242424242424243,-0.06851119894598157,0.1826431830593873,0.23479423456048046,460,438,,outputs/experiments/cooja/seed_2026/random_forest/dummy_ldp/COOJA.testlog
dummy_adaptive_ldp,fixed_attacker,42,0.15873015873015872,0.1323529411764706,0.02637721755368813,0.15657287157287159,0.11233243785725266,419,451,,outputs/experiments/cooja/seed_42/random_forest/dummy_adaptive_ldp/COOJA.testlog
dummy_adaptive_ldp,retrain_attacker,42,0.15873015873015872,0.22058823529411764,-0.06185807656395892,0.15657287157287159,0.19416322357498828,419,451,,outputs/experiments/cooja/seed_42/random_forest/dummy_adaptive_ldp/COOJA.testlog
dummy_adaptive_ldp,fixed_attacker,123,0.15602836879432624,0.1875,-0.031471631205673756,0.1575074342233457,0.18303746614216942,468,426,,outputs/experiments/cooja/seed_123/random_forest/dummy_adaptive_ldp/COOJA.testlog
dummy_adaptive_ldp,retrain_attacker,123,0.15602836879432624,0.234375,-0.07834663120567376,0.1575074342233457,0.19047269055817226,468,426,,outputs/experiments/cooja/seed_123/random_forest/dummy_adaptive_ldp/COOJA.testlog
dummy_adaptive_ldp,fixed_attacker,2026,0.17391304347826086,0.14285714285714285,0.031055900621118016,0.1826431830593873,0.14120268798855898,460,442,,outputs/experiments/cooja/seed_2026/random_forest/dummy_adaptive_ldp/COOJA.testlog
dummy_adaptive_ldp,retrain_attacker,2026,0.17391304347826086,0.18796992481203006,-0.0140568813337692,0.1826431830593873,0.176168430335097,460,442,,outputs/experiments/cooja/seed_2026/random_forest/dummy_adaptive_ldp/COOJA.testlog
