dataset,profile_name,model_type,mode,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,mean_baseline_acc,mean_defended_acc,mean_accuracy_drop,mean_defended_f1_macro,mean_mse,mean_mae,mean_pearson_r,num_seeds,source_file
mock,adaptive_default,lstm,fixed_attacker,0.4,4.0,0.5,0.5,False,0.7759381898454746,0.4541942604856512,0.3217439293598234,0.3127692756050966,0.885304015812581,0.3851568588696956,0.14720905240630364,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_default,lstm,retrain_attacker,0.4,4.0,0.5,0.5,False,0.2842163355408388,0.43598233995584984,-0.151766004415011,0.36467867612193566,0.885304015812581,0.3851568588696956,0.14720905240630364,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_default,mlp,fixed_attacker,0.4,4.0,0.5,0.5,False,0.47350993377483447,0.21909492273730677,0.2544150110375276,0.07562187967155663,0.885304015812581,0.3851568588696956,0.14720905240630364,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_default,mlp,retrain_attacker,0.4,4.0,0.5,0.5,False,0.2891832229580574,0.40397350993377484,-0.11479028697571743,0.32684578689146143,0.885304015812581,0.3851568588696956,0.14720905240630364,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_strong_privacy,lstm,fixed_attacker,0.2,1.0,0.5,0.5,False,0.7759381898454746,0.30629139072847683,0.46964679911699775,0.1624416703649905,6.091178641891356,1.1193381714907533,0.06628509303133327,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_strong_privacy,lstm,retrain_attacker,0.2,1.0,0.5,0.5,False,0.2842163355408388,0.37527593818984545,-0.09105960264900655,0.29195491939338,6.091178641891356,1.1193381714907533,0.06628509303133327,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_strong_privacy,mlp,fixed_attacker,0.2,1.0,0.5,0.5,False,0.47350993377483447,0.22240618101545243,0.2511037527593819,0.06827850171367666,6.091178641891356,1.1193381714907533,0.06628509303133327,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_strong_privacy,mlp,retrain_attacker,0.2,1.0,0.5,0.5,False,0.2842163355408388,0.38852097130242824,-0.10430463576158933,0.3129001152871779,6.091178641891356,1.1193381714907533,0.06628509303133327,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_weak_privacy,lstm,fixed_attacker,1.0,6.0,0.5,0.5,False,0.7759381898454746,0.533112582781457,0.24282560706401765,0.39034748324005375,0.2145810333162804,0.21097210878286457,0.2794529820923209,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_weak_privacy,lstm,retrain_attacker,1.0,6.0,0.5,0.5,False,0.2924944812362031,0.4933774834437086,-0.20088300220750543,0.4089656684811374,0.2145810333162804,0.21097210878286457,0.2794529820923209,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_weak_privacy,mlp,fixed_attacker,1.0,6.0,0.5,0.5,False,0.47350993377483447,0.2091611479028697,0.2643487858719647,0.08314522256552863,0.2145810333162804,0.21097210878286457,0.2794529820923209,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_weak_privacy,mlp,retrain_attacker,1.0,6.0,0.5,0.5,False,0.3559602649006622,0.3890728476821192,-0.03311258278145696,0.3230885100744288,0.2145810333162804,0.21097210878286457,0.2794529820923209,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_sensitivity_only,lstm,fixed_attacker,0.4,4.0,1.0,0.0,False,0.7759381898454746,0.4486754966887417,0.32726269315673284,0.30932292535728007,1.0025147617879044,0.41647289367956936,0.1381214143476569,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_sensitivity_only,lstm,retrain_attacker,0.4,4.0,1.0,0.0,False,0.2842163355408388,0.44205298013245026,-0.15783664459161142,0.3624415031944291,1.0025147617879044,0.41647289367956936,0.1381214143476569,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
