dataset,seed,model_type,mode,method,profile_name,parameter_name,parameter_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_acc,defended_acc,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
mock,42,lstm,fixed_attacker,adaptive_ldp,adaptive_default,profile,1,0.4,4.0,0.5,0.5,False,,0.7649006622516556,0.4735099337748344,0.29139072847682124,0.31636311158817537,0.8957119544972894,0.39027860413277304,0.14704641567008098,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,adaptive_ldp,adaptive_strong_privacy,profile,2,0.2,1.0,0.5,0.5,False,,0.7649006622516556,0.31788079470198677,0.4470198675496689,0.15555024510881316,6.165430772251996,1.1303852281054858,0.06565854565322272,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,adaptive_ldp,adaptive_weak_privacy,profile,3,1.0,6.0,0.5,0.5,False,,0.7649006622516556,0.543046357615894,0.2218543046357616,0.3869779820084408,0.21743339540866335,0.21336083586677393,0.27953956726770307,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,adaptive_ldp,adaptive_sensitivity_only,profile,4,0.4,4.0,1.0,0.0,False,,0.7649006622516556,0.4718543046357616,0.29304635761589404,0.31673385312908253,0.9947978819792538,0.4167110522996348,0.13892219800134722,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,adaptive_ldp,adaptive_traffic_only,profile,5,0.4,4.0,0.0,1.0,False,,0.7649006622516556,0.4817880794701987,0.28311258278145696,0.33281923245836154,0.8753010293979138,0.3754299342533134,0.14989202393467274,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,adaptive_ldp,adaptive_edge_cap_on,profile,6,0.4,4.0,0.5,0.5,True,100000,0.7649006622516556,0.4735099337748344,0.29139072847682124,0.31636311158817537,0.8957119477748972,0.3902786035461526,0.1470464162273236,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,adaptive_ldp,adaptive_default,profile,1,0.4,4.0,0.5,0.5,False,,0.28311258278145696,0.4602649006622517,-0.17715231788079472,0.39422385510774616,0.8957119544972894,0.39027860413277304,0.14704641567008098,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,adaptive_ldp,adaptive_strong_privacy,profile,2,0.2,1.0,0.5,0.5,False,,0.28311258278145696,0.3758278145695364,-0.09271523178807944,0.307733431451814,6.165430772251996,1.1303852281054858,0.06565854565322272,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,adaptive_ldp,adaptive_weak_privacy,profile,3,1.0,6.0,0.5,0.5,False,,0.3079470198675497,0.5513245033112583,-0.24337748344370858,0.45451460774705277,0.21743339540866335,0.21336083586677393,0.27953956726770307,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,adaptive_ldp,adaptive_sensitivity_only,profile,4,0.4,4.0,1.0,0.0,False,,0.28311258278145696,0.4337748344370861,-0.15066225165562913,0.3726697429516526,0.9947978819792538,0.4167110522996348,0.13892219800134722,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,adaptive_ldp,adaptive_traffic_only,profile,5,0.4,4.0,0.0,1.0,False,,0.28311258278145696,0.4685430463576159,-0.18543046357615894,0.4044055356637669,0.8753010293979138,0.3754299342533134,0.14989202393467274,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,adaptive_ldp,adaptive_edge_cap_on,profile,6,0.4,4.0,0.5,0.5,True,100000,0.28311258278145696,0.4602649006622517,-0.17715231788079472,0.39422385510774616,0.8957119477748972,0.3902786035461526,0.1470464162273236,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,mlp,fixed_attacker,adaptive_ldp,adaptive_default,profile,1,0.4,4.0,0.5,0.5,False,,0.4652317880794702,0.42218543046357615,0.04304635761589404,0.14272377549213705,0.8957119544972894,0.39027860413277304,0.14704641567008098,outputs/models/mock/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,mlp,fixed_attacker,adaptive_ldp,adaptive_strong_privacy,profile,2,0.2,1.0,0.5,0.5,False,,0.4652317880794702,0.43211920529801323,0.033112582781456956,0.12069364161849712,6.165430772251996,1.1303852281054858,0.06565854565322272,outputs/models/mock/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,mlp,fixed_attacker,adaptive_ldp,adaptive_weak_privacy,profile,3,1.0,6.0,0.5,0.5,False,,0.4652317880794702,0.3923841059602649,0.07284768211920528,0.165293804174053,0.21743339540866335,0.21336083586677393,0.27953956726770307,outputs/models/mock/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,mlp,fixed_attacker,adaptive_ldp,adaptive_sensitivity_only,profile,4,0.4,4.0,1.0,0.0,False,,0.4652317880794702,0.4205298013245033,0.044701986754966894,0.1348609952501745,0.9947978819792538,0.4167110522996348,0.13892219800134722,outputs/models/mock/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,mlp,fixed_attacker,adaptive_ldp,adaptive_traffic_only,profile,5,0.4,4.0,0.0,1.0,False,,0.4652317880794702,0.4155629139072848,0.04966887417218541,0.14005632945116844,0.8753010293979138,0.3754299342533134,0.14989202393467274,outputs/models/mock/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,mlp,fixed_attacker,adaptive_ldp,adaptive_edge_cap_on,profile,6,0.4,4.0,0.5,0.5,True,100000,0.4652317880794702,0.42218543046357615,0.04304635761589404,0.14272377549213705,0.8957119477748972,0.3902786035461526,0.1470464162273236,outputs/models/mock/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,mlp,retrain_attacker,adaptive_ldp,adaptive_default,profile,1,0.4,4.0,0.5,0.5,False,,0.28311258278145696,0.39403973509933776,-0.1109271523178808,0.3375551001941118,0.8957119544972894,0.39027860413277304,0.14704641567008098,outputs/models/mock/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_42/mlp/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
