count,dataset,method,mode,model_type,pred_label,seed,source_file,true_label
55,mock,adaptive_ldp,fixed_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,cooking
42,mock,adaptive_ldp,fixed_attacker,lstm,cooking,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,using_computer
41,mock,adaptive_ldp,fixed_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,using_computer
33,mock,adaptive_ldp,fixed_attacker,lstm,cooking,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,away
23,mock,adaptive_ldp,fixed_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,away
22,mock,adaptive_ldp,fixed_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,sleep
20,mock,adaptive_ldp,fixed_attacker,lstm,sleep,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,cooking
17,mock,adaptive_ldp,fixed_attacker,lstm,cooking,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,sleep
16,mock,adaptive_ldp,fixed_attacker,lstm,sleep,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,using_computer
14,mock,adaptive_ldp,fixed_attacker,lstm,cooking,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json,other
87,mock,adaptive_ldp,retrain_attacker,lstm,away,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,cooking
47,mock,adaptive_ldp,retrain_attacker,lstm,sleep,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,cooking
38,mock,adaptive_ldp,retrain_attacker,lstm,using_computer,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,cooking
22,mock,adaptive_ldp,retrain_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,cooking
19,mock,adaptive_ldp,retrain_attacker,lstm,sleep,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,away
18,mock,adaptive_ldp,retrain_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,using_computer
17,mock,adaptive_ldp,retrain_attacker,lstm,sleep,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,other
13,mock,adaptive_ldp,retrain_attacker,lstm,using_computer,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,other
13,mock,adaptive_ldp,retrain_attacker,lstm,cooking,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,away
12,mock,adaptive_ldp,retrain_attacker,lstm,using_computer,42,outputs/experiments/mock/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json,sleep
77,mock,ldp,fixed_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,cooking
74,mock,ldp,fixed_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,using_computer
70,mock,ldp,fixed_attacker,lstm,cooking,42,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,using_computer
33,mock,ldp,fixed_attacker,lstm,cooking,42,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,away
29,mock,ldp,fixed_attacker,lstm,cooking,42,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,other
23,mock,ldp,fixed_attacker,lstm,other,42,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/confusion.json,away
