old_path,size_bytes,tracked_by_git,category,inferred_dataset,inferred_seed,inferred_model,inferred_method,inferred_mode,inferred_role,source_or_summary,proposed_new_path,action,reason
configs/cooja_defense_dummy_logs.json,1027,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/cooja_defense_dummy_logs.template.json,668,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/cooja_defense_logs.json,1535,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/cooja_defense_logs.template.json,981,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/cooja_defense_postprocess.json,786,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/default.yaml,5839,True,other,,,,,,,source,,optional,Not part of final canonical layout.
configs/generated/casas_hh101/seed_123/lstm/adaptive_ldp/fixed_attacker.yaml,3252,True,generated configs,casas_hh101,seed_123,lstm,adaptive_ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/lstm/adaptive_ldp/retrain_attacker.yaml,3277,True,generated configs,casas_hh101,seed_123,lstm,adaptive_ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/lstm/baseline.yaml,3252,True,generated configs,casas_hh101,seed_123,lstm,,,baseline,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/lstm/ldp/fixed_attacker.yaml,3225,True,generated configs,casas_hh101,seed_123,lstm,ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/lstm/ldp/retrain_attacker.yaml,3241,True,generated configs,casas_hh101,seed_123,lstm,ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/lstm/noise/fixed_attacker.yaml,3231,True,generated configs,casas_hh101,seed_123,lstm,noise,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/lstm/noise/retrain_attacker.yaml,3249,True,generated configs,casas_hh101,seed_123,lstm,noise,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/mlp/adaptive_ldp/fixed_attacker.yaml,3252,True,generated configs,casas_hh101,seed_123,mlp,adaptive_ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/mlp/adaptive_ldp/retrain_attacker.yaml,3275,True,generated configs,casas_hh101,seed_123,mlp,adaptive_ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/mlp/baseline.yaml,3252,True,generated configs,casas_hh101,seed_123,mlp,,,baseline,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/mlp/ldp/fixed_attacker.yaml,3225,True,generated configs,casas_hh101,seed_123,mlp,ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/mlp/ldp/retrain_attacker.yaml,3239,True,generated configs,casas_hh101,seed_123,mlp,ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/mlp/noise/fixed_attacker.yaml,3231,True,generated configs,casas_hh101,seed_123,mlp,noise,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_123/mlp/noise/retrain_attacker.yaml,3247,True,generated configs,casas_hh101,seed_123,mlp,noise,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_2026/lstm/adaptive_ldp/fixed_attacker.yaml,3259,True,generated configs,casas_hh101,seed_2026,lstm,adaptive_ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_2026/lstm/adaptive_ldp/retrain_attacker.yaml,3284,True,generated configs,casas_hh101,seed_2026,lstm,adaptive_ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_2026/lstm/baseline.yaml,3259,True,generated configs,casas_hh101,seed_2026,lstm,,,baseline,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_2026/lstm/ldp/fixed_attacker.yaml,3232,True,generated configs,casas_hh101,seed_2026,lstm,ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_2026/lstm/ldp/retrain_attacker.yaml,3248,True,generated configs,casas_hh101,seed_2026,lstm,ldp,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_2026/lstm/noise/fixed_attacker.yaml,3238,True,generated configs,casas_hh101,seed_2026,lstm,noise,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_2026/lstm/noise/retrain_attacker.yaml,3256,True,generated configs,casas_hh101,seed_2026,lstm,noise,,,source,,keep,Already under canonical layout.
configs/generated/casas_hh101/seed_2026/mlp/adaptive_ldp/fixed_attacker.yaml,3259,True,generated configs,casas_hh101,seed_2026,mlp,adaptive_ldp,,,source,,keep,Already under canonical layout.
