old_path,new_path,action,reason,size_bytes
outputs/reports/final_thesis/adaptive_ldp_ablation_overview.md,outputs/summaries/final_thesis/adaptive_ldp_ablation_overview.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,1758
outputs/reports/final_thesis/artifact_index.md,outputs/summaries/final_thesis/artifact_index.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,3009
outputs/reports/final_thesis/codex_fix_report.md,outputs/summaries/final_thesis/codex_fix_report.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,9479
outputs/reports/final_thesis/completed_experiment_checklist.md,outputs/summaries/final_thesis/completed_experiment_checklist.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,3376
outputs/reports/final_thesis/cooja/cooja_feature_importance.csv,,drop_optional,Empty Cooja optional diagnostic is not part of final delivery.,0
outputs/reports/final_thesis/cooja/cooja_limitations.md,outputs/summaries/final_thesis/cooja/cooja_limitations.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,713
outputs/reports/final_thesis/cooja/cooja_missing_outputs.json,outputs/summaries/final_thesis/cooja/cooja_missing_outputs.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,2
outputs/reports/final_thesis/cooja/cooja_overhead_summary.csv,outputs/summaries/final_thesis/cooja/cooja_overhead_summary.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,596
outputs/reports/final_thesis/cooja/cooja_per_seed.csv,outputs/summaries/final_thesis/cooja/cooja_per_seed.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,5618
outputs/reports/final_thesis/cooja/cooja_summary.csv,outputs/summaries/final_thesis/cooja/cooja_summary.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,2653
outputs/reports/final_thesis/cooja/cooja_summary.json,outputs/summaries/final_thesis/cooja/cooja_summary.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,5499
outputs/reports/final_thesis/cooja/cooja_top_confusions.csv,,drop_optional,Empty Cooja optional diagnostic is not part of final delivery.,0
outputs/reports/final_thesis/cooja/cooja_traffic_metrics.csv,outputs/summaries/final_thesis/cooja/cooja_traffic_metrics.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,2126
outputs/reports/final_thesis/figure_table_list.md,outputs/summaries/final_thesis/figure_table_list.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,10422
outputs/reports/final_thesis/final_coverage_audit.json,outputs/summaries/final_thesis/final_coverage_audit.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,4380
outputs/reports/final_thesis/final_manifest.json,outputs/summaries/final_thesis/final_manifest.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,1131
outputs/reports/final_thesis/final_missing_outputs.json,outputs/summaries/final_thesis/final_missing_outputs.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,2
outputs/reports/final_thesis/final_summary.csv,outputs/summaries/final_thesis/final_summary.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,91411
outputs/reports/final_thesis/final_summary.json,outputs/summaries/final_thesis/final_summary.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,152716
outputs/reports/final_thesis/final_symmetry_audit.json,outputs/summaries/final_thesis/final_symmetry_audit.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,1578
outputs/reports/final_thesis/final_symmetry_audit.md,outputs/summaries/final_thesis/final_symmetry_audit.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,615
outputs/reports/final_thesis/final_thesis_summary.md,outputs/summaries/final_thesis/final_thesis_summary.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,3463
outputs/reports/final_thesis/git_history_size_note.md,outputs/summaries/final_thesis/git_history_size_note.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,1180
outputs/reports/final_thesis/legacy_outputs_note.md,outputs/summaries/final_thesis/legacy_outputs_note.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,1270
outputs/reports/final_thesis/mock/mock_adaptive_ldp_ablation_summary.csv,outputs/summaries/final_thesis/mock/mock_adaptive_ldp_ablation_summary.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,6946
outputs/reports/final_thesis/mock/mock_adaptive_ldp_ablation_summary.md,outputs/summaries/final_thesis/mock/mock_adaptive_ldp_ablation_summary.md,copy,Move final thesis summaries to outputs/summaries/final_thesis.,987
outputs/reports/final_thesis/mock/mock_coverage_audit.json,outputs/summaries/final_thesis/mock/mock_coverage_audit.json,copy,Move final thesis summaries to outputs/summaries/final_thesis.,163
outputs/reports/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,32148
outputs/reports/final_thesis/mock/mock_parameter_scan_ldp.csv,outputs/summaries/final_thesis/mock/mock_parameter_scan_ldp.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,21879
outputs/reports/final_thesis/mock/mock_parameter_scan_noise.csv,outputs/summaries/final_thesis/mock/mock_parameter_scan_noise.csv,copy,Move final thesis summaries to outputs/summaries/final_thesis.,18166
